"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependants","own_telephone","foreign_worker","class"
"overdrawn",29.44616224,"existing paid","furniture/equipment",3109.384594,"low savings","less than 1 year",2.184612587,"female div/dep/mar","none",3.723081119,"life insurance",30.63077483,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",15.55133243,"delayed previously","education",2283.713558,"low savings","less than 1 year",3.408111261,"male div/sep","none",2.591888739,"car",33.71355766,"stores","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad"
"low balance",12,"existing paid","other",892.9030555,"low savings","less than 1 year",4,"male mar/wid","none",4,"car",33.99563507,"bank","own",1,"unemp/unskilled non res",1.649781753,"none","yes","bad"
"low balance",11.12454359,"existing paid","radio/tv",643.3772821,"low savings","1-3 years",4,"male single","none",2.291818804,"car",29.41636239,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",18,"critical/order existing credit","furniture/equipment",1926.073332,"low savings","less than 1 year",2.963333976,"male div/sep","none",2.481666988,"real estate",29.07333205,"stores","own",1.518333012,"unemp/unskilled non res",1,"none","yes","bad"
"low balance",24.47359047,"existing paid","new car",2992.435231,"low savings","4-6 years",4,"male div/sep","guarantor",3.37798759,"life insurance",23.48804964,"stores","rent",1.62201241,"skilled",1,"none","yes","bad"
"low balance",24,"all paid","domestic appliance",3143.838033,"low savings","1-3 years",3.751275846,"male mar/wid","none",2,"car",28.76148261,"stores","rent",1,"skilled",1,"yes","yes","bad"
"overdrawn",27.96303035,"existing paid","furniture/equipment",3346.32101,"low savings","less than 1 year",4,"male mar/wid","none",2,"car",35.36722218,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"low balance",35.87651127,"critical/order existing credit","new car",1841.524385,"low savings","1-3 years",4,"male div/sep","none",4,"no known property",27.77897029,"bank","for free",1,"skilled",1,"none","yes","bad"
"overdrawn",12,"existing paid","furniture/equipment",1278.758383,"low savings","1-3 years",2.405202087,"female div/dep/mar","none",2.78439374,"life insurance",26.88843548,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",12.28526975,"existing paid","furniture/equipment",1228.000934,"low savings","1-3 years",3.428526975,"female div/dep/mar","none",3.571473025,"life insurance",23.57147303,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",11.22292158,"existing paid","radio/tv",731.6624705,"low savings","4-6 years",3.740973861,"male div/sep","none",2.740973861,"no known property",31.7048693,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"low balance",20.79366176,"delayed previously","furniture/equipment",1922.835974,"high savings","less than 1 year",4,"female div/dep/mar","none",3,"no known property",27.69841544,"stores","own",1.232805147,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",28.93674211,"existing paid","furniture/equipment",2411.847918,"low savings","4-6 years",4,"female div/dep/mar","none",4,"real estate",25.12651578,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",19.53473006,"all paid","furniture/equipment",1580.113564,"low savings","1-3 years",4,"male mar/wid","none",2.744211657,"car",40.16317485,"bank","own",1,"skilled",1,"none","yes","bad"
"overdrawn",20.17247313,"all paid","new car",3360.801541,"low savings","less than 1 year",3.681039427,"male single","none",4,"no known property",31.59480286,"stores","for free",1,"skilled",1.681039427,"yes","yes","bad"
"adequate balance",22.83771355,"existing paid","furniture/equipment",4618.724884,"low savings","1-3 years",3,"male single","none",2.475012943,"life insurance",36.19989646,"stores","for free",1.237506471,"high qualif/self emp/mgmt",1.237506471,"none","yes","bad"
"overdrawn",12,"delayed previously","other",701.7959879,"low savings","7 or more years",4,"male single","none",3.599777107,"no known property",48.19509636,"stores","own",1.400222893,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",41.19773607,"all paid","domestic appliance",6854.802264,"low savings","less than 1 year",2.477714891,"male div/sep","none",2.433144673,"life insurance",58.82171913,"bank","own",1.477714891,"skilled",1,"yes","yes","bad"
"overdrawn",12,"delayed previously","new car",762.1498702,"low savings","4-6 years",4,"male mar/wid","none",2.082891322,"no known property",26.58023925,"bank","own",1,"skilled",1.082891322,"none","yes","bad"
"low balance",19.75533109,"critical/order existing credit","new car",1254.489338,"low savings","4-6 years",3.056740243,"male mar/wid","none",2,"no known property",23.94325976,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",28.14595503,"delayed previously","education",2125.364888,"low savings","1-3 years",2.872671663,"male single","guarantor",1.436335832,"life insurance",29.67236581,"stores","own",1.563664168,"skilled",1,"none","yes","bad"
"low balance",11.40632775,"existing paid","new car",678.8653867,"low savings","1-3 years",2.395781502,"male mar/wid","none",3,"car",25.59367225,"bank","own",1,"unskilled resident",1,"none","yes","bad"
"adequate balance",18.39778796,"existing paid","business",4165.99447,"low savings","1-3 years",2.044198662,"male single","none",2,"car",35.77900669,"stores","own",1.977900669,"skilled",1.977900669,"none","yes","bad"
"low balance",12.43994961,"existing paid","furniture/equipment",1227.676106,"low savings","1-3 years",3.443994961,"female div/dep/mar","none",3.556005039,"life insurance",23.55600504,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",21.77641415,"existing paid","radio/tv",2318.93284,"low savings","4-6 years",2.645372777,"female div/dep/mar","none",3.322686388,"no known property",26.93611833,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",24,"delayed previously","furniture/equipment",3124.64923,"low savings","4-6 years",4,"female div/dep/mar","none",1.043400783,"life insurance",27.17360313,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",22.64357994,"critical/order existing credit","other",1215.472503,"low savings","less than 1 year",4,"male single","none",4,"life insurance",38.67821003,"bank","own",1.92464333,"high qualif/self emp/mgmt",1.92464333,"none","yes","bad"
"low balance",14.51469429,"existing paid","new car",1769.264497,"low savings","less than 1 year",2.161768569,"female div/dep/mar","none",1.080884285,"no known property",25.67646286,"stores","own",1.919115715,"skilled",1,"none","yes","bad"
"overdrawn",42.72308849,"existing paid","other",1844.241029,"low savings","1-3 years",4,"male mar/wid","none",4,"life insurance",25.78289185,"stores","for free",1,"skilled",1,"yes","yes","bad"
"overdrawn",21.25870011,"existing paid","new car",2310.310133,"low savings","less than 1 year",3.390822246,"male mar/wid","co applicant",1.609177754,"real estate",38.90822246,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",12,"critical/order existing credit","new car",690.5473927,"low savings","less than 1 year",3.849130906,"male mar/wid","none",3,"car",34.24565453,"bank","own",1.924565453,"skilled",1,"none","yes","bad"
"overdrawn",23.00270741,"existing paid","radio/tv",1938.831077,"low savings","less than 1 year",4,"female div/dep/mar","none",3.166215432,"life insurance",30.50406111,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",24,"delayed previously","new car",1376.013391,"no known savings","1-3 years",4,"female div/dep/mar","none",2.216809107,"car",36.08404553,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",19.76696368,"all paid","new car",1442,"low savings","4-6 years",4,"male mar/wid","none",4,"life insurance",29.34955448,"stores","for free",2,"unemp/unskilled non res",1.705506053,"none","yes","bad"
"adequate balance",11.98749413,"existing paid","education",719.1083842,"low savings","less than 1 year",3.995831375,"male mar/wid","none",3.99166275,"car",40.94580788,"bank","own",1,"unskilled resident",1.995831375,"none","yes","bad"
"low balance",12,"critical/order existing credit","new car",688.694789,"low savings","less than 1 year",3.231596337,"male mar/wid","none",3,"car",31.15798169,"bank","own",1.615798169,"skilled",1,"none","yes","bad"
"overdrawn",28.90171906,"existing paid","education",1977.788698,"high savings","less than 1 year",3.474201412,"male mar/wid","guarantor",3.474201412,"life insurance",34.47911482,"stores","own",1.262899294,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",23.4218337,"existing paid","new car",1285.991142,"no known savings","1-3 years",4,"female div/dep/mar","guarantor",4,"life insurance",31.79351204,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",11.82640831,"existing paid","radio/tv",1109.620189,"low savings","4-6 years",4,"male single","none",3,"no known property",28.23145559,"stores","for free",2,"skilled",1.057863898,"none","yes","bad"
"low balance",44.84382561,"delayed previously","new car",5969.542525,"low savings","1-3 years",2.789043597,"male div/sep","none",2.394521799,"no known property",23.97260899,"bank","own",1,"skilled",1,"none","yes","bad"
"overdrawn",7.281072791,"existing paid","education",446.398659,"low savings","less than 1 year",3.893243934,"female div/dep/mar","guarantor",4,"life insurance",22.89324393,"stores","own",1,"skilled",1,"none","yes","bad"
"adequate balance",36.04188117,"critical/order existing credit","repairs",7578.313498,"high savings","7 or more years",4,"male div/sep","none",2.006980194,"no known property",49.30773929,"bank","for free",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",11.66064019,"critical/order existing credit","furniture/equipment",2239.891523,"low savings","less than 1 year",2.830320096,"male single","none",2.830320096,"life insurance",54.06120336,"bank","own",1.830320096,"skilled",1,"none","yes","bad"
"low balance",11.53151638,"existing paid","furniture/equipment",1229.583816,"low savings","1-3 years",3.353151638,"female div/dep/mar","none",3.646848362,"life insurance",23.64684836,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",21.14246698,"delayed previously","new car",4663.416232,"low savings","less than 1 year",2.164805152,"male div/sep","none",3.223463232,"life insurance",29.28212131,"stores","own",1.388268384,"skilled",1,"none","yes","bad"
"adequate balance",21.24726305,"delayed previously","other",3593.013841,"low savings","less than 1 year",2.229394746,"male mar/wid","guarantor",3.541210509,"car",30.54121051,"stores","own",2,"skilled",1,"none","yes","bad"
"low balance",34.78688265,"existing paid","furniture/equipment",3095.23498,"low savings","4-6 years",2.53187585,"male div/sep","none",4,"life insurance",30.20218623,"stores","own",1.265937925,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",14.16207057,"existing paid","new car",1223.675859,"low savings","1-3 years",4,"female div/dep/mar","none",2.360345095,"life insurance",23.6396549,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",30.54105288,"existing paid","radio/tv",2308.498747,"low savings","1-3 years",3.480100274,"female div/dep/mar","none",3.740050137,"car",29.44030082,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",29.43889016,"existing paid","repairs",4156.964362,"low savings","4-6 years",3.453240847,"male div/sep","none",3.093518306,"car",27.09351831,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",11.90305215,"existing paid","other",673.353681,"low savings","1-3 years",4,"male mar/wid","none",1.064631902,"car",20.25852761,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",32.64283791,"existing paid","radio/tv",2387.636926,"low savings","less than 1 year",3.720236493,"male single","none",1.279763507,"life insurance",33.55952701,"bank","own",1.279763507,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",16.59827902,"all paid","furniture/equipment",1195.056034,"low savings","7 or more years",2.233620163,"female div/dep/mar","co applicant",4,"no known property",31.46724033,"stores","own",1.588793279,"skilled",1,"none","yes","bad"
"low balance",11.38330871,"existing paid","furniture/equipment",955.4250369,"low savings","4-6 years",2.191654354,"male div/sep","none",2.397218118,"car",30.58887247,"stores","own",1.397218118,"skilled",1.397218118,"none","no","bad"
"low balance",36.91440456,"no credits/all paid","other",3807.048015,"low savings","1-3 years",4,"female div/dep/mar","none",1.228601139,"car",41.39039696,"stores","for free",1,"skilled",1.07620038,"none","yes","bad"
"overdrawn",12,"all paid","business",610.0109589,"low savings","4-6 years",4,"female div/dep/mar","none",1.178404519,"real estate",25.88106365,"bank","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"low balance",35.74942021,"delayed previously","domestic appliance",5210.922106,"low savings","less than 1 year",2,"male div/sep","none",3.583360942,"car",41.66721885,"stores","own",1.583360942,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"low balance",8.513024273,"critical/order existing credit","furniture/equipment",939.3767476,"low savings","less than 1 year",2.256512136,"female div/dep/mar","none",2.256512136,"car",29.90581311,"stores","own",2.256512136,"unemp/unskilled non res",1,"none","yes","bad"
"low balance",34.54517793,"critical/order existing credit","new car",2816.362945,"low savings","4-6 years",3.838353104,"male div/sep","none",3.838353104,"car",27.32329379,"bank","own",2,"skilled",1,"none","yes","bad"
"low balance",23.50350948,"critical/order existing credit","business",1934.089767,"low savings","less than 1 year",4,"female div/dep/mar","none",3.91725158,"real estate",30.66900632,"stores","own",1.91725158,"skilled",1,"none","yes","bad"
"overdrawn",12,"existing paid","new car",1373.726739,"low savings","1-3 years",2,"female div/dep/mar","none",2.876661486,"car",34.76661486,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",46.54763618,"existing paid","education",6315.801552,"low savings","4-6 years",4,"male single","none",4,"life insurance",37.0674666,"stores","for free",1,"skilled",1,"none","yes","bad"
